product_id,name,variant_label,image,cost_price,sell_price,profit,match_status
PROD-0539,MODIAN 925 Sterling Silver Luxury Water Drop Blue Red Zirconia Pendant Necklace Classic Link Chain For Women Wedding Jewelry,Gem Color: Rhn1444S,https://i.ibb.co/QsfPNMw/0539-modian-925-sterling-silver-luxury-water-drop-blue-webp.webp,"₦47,803","₦63,500","₦15,697",matched_variant
PROD-0540,MODIAN 925 Sterling Silver Luxury Water Drop Dazzling CZ Link Chain Pendant Necklace For Women Wedding Statement Jewelry Gifts,,https://i.ibb.co/kVM1F0CD/0540-modian-925-sterling-silver-luxury-water-drop-dazzl-webp.webp,"₦61,194","₦80,900","₦19,706",matched
PROD-0541,MODIAN 925 Sterling Silver Marquise Cut Zirconia Necklace Retro Black Cross Big Pendant Necklace For Women Fine Jewelry Gift,Gem Color: Rhn2059,https://i.ibb.co/RTytzdz7/0541-modian-925-sterling-silver-marquise-cut-zirconia-n-webp.webp,"₦66,967","₦85,500","₦18,533",matched_variant
PROD-0541,MODIAN 925 Sterling Silver Marquise Cut Zirconia Necklace Retro Black Cross Big Pendant Necklace For Women Fine Jewelry Gift,Gem Color: Rhn757,https://i.ibb.co/RTytzdz7/0541-modian-925-sterling-silver-marquise-cut-zirconia-n-webp.webp,"₦69,612","₦87,900","₦18,288",matched_variant
PROD-0542,MODIAN 925 Sterling Silver Mini Flowers Bracelet Dainty Link Chain Pave Setting CZ For Women Wedding Fine Jewelry Gift,Gem Color: Rhb1680G,https://i.ibb.co/4yJ1W0g/0542-modian-925-sterling-silver-mini-flowers-bracelet-d-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0542,MODIAN 925 Sterling Silver Mini Flowers Bracelet Dainty Link Chain Pave Setting CZ For Women Wedding Fine Jewelry Gift,Gem Color: Rhb1680S,https://i.ibb.co/4yJ1W0g/0542-modian-925-sterling-silver-mini-flowers-bracelet-d-webp.webp,"₦43,045","₦56,000","₦12,955",matched_variant
PROD-0543,MODIAN 925 Sterling Silver Minimalism Classic U Shape Hoop Earrings Trendy Mirror Ear Buckle For Women Fine Jewelry,,https://i.ibb.co/ksR9DDtB/0543-modian-925-sterling-silver-minimalism-classic-u-sh-webp.webp,"₦53,976","₦70,900","₦16,924",matched
PROD-0544,Modian 925 Sterling Silver Minimalism Rainbow Color Enamel Hearts Pendant Necklace Trendy Link Chain For Women Wedding Jewelry,Gem Color: Black,https://i.ibb.co/Fq8vQ0YT/0544-modian-925-sterling-silver-minimalism-rainbow-colo-webp.webp,"₦57,358","₦72,900","₦15,542",matched_variant
PROD-0544,Modian 925 Sterling Silver Minimalism Rainbow Color Enamel Hearts Pendant Necklace Trendy Link Chain For Women Wedding Jewelry,Gem Color: Green,https://i.ibb.co/Fq8vQ0YT/0544-modian-925-sterling-silver-minimalism-rainbow-colo-webp.webp,"₦57,358","₦72,900","₦15,542",matched_variant
PROD-0544,Modian 925 Sterling Silver Minimalism Rainbow Color Enamel Hearts Pendant Necklace Trendy Link Chain For Women Wedding Jewelry,Gem Color: Pink,https://i.ibb.co/Fq8vQ0YT/0544-modian-925-sterling-silver-minimalism-rainbow-colo-webp.webp,"₦57,358","₦72,900","₦15,542",matched_variant
